Source,description,API_Key_Url
Wiki EOD Stock Prices,"End of day stock prices, dividends and splits for 3,000 US companies, curated by the Quandl community and released into the public domain.",https://www.quandl.com/api/v3/datatables/WIKI/PRICES?ticker=A&date=1999-11-18%2C1999-11-19%2C1999-11-22&api_key=,,
BraveNewCoin Global Weighted Averages,"Updated daily, this database contains Brave New Coin's Global Weighted Averages.",https://www.quandl.com/api/v3/datasets/BNC3/GWA_BTC?api_key=
London Metal Exchange,The London Metal Exchange is the world centre for industrial metals trading.,https://www.quandl.com/api/v3/datasets/LME/ST_CCG_ALL?api_key=
Chicago Mercantile Exchange Futures Data,"Futures data for a wide range of commodities (metals, grains, energy) and financial instruments (equities, currencies, rates).",https://www.quandl.com/api/v3/datasets/CME/I5M2018?api_key=
Wiki Continuous Futures,"Continuous contracts for all 600 futures on Quandl. Built on top of raw data from CME, ICE, LIFFE etc. Curated by the Quandl community. 50 years history.",https://www.quandl.com/api/v3/datasets/CHRIS/ASX_TN2?api_key=
Zillow Real Estate Research,"Home prices and rents by size, type and tier; housing supply, demand and sales; sliced by zip code, neighborhood, city, metro area, county and state.",https://www.quandl.com/api/v3/datasets/ZILLOW/N16033_ZRISFRR?api_key=
Federal Reserve Economic Data,"Growth, employment, inflation, labor, manufacturing and other US economic statistics from the research department of the Federal Reserve Bank of St. Louis.",https://www.quandl.com/api/v3/datasets/FRED/NROUST?api_key=
Intercontinental Exchange Futures Data,"Futures data for softs, grains, energy products and financial instruments, with historical contracts going back decades.",https://www.quandl.com/api/v3/datasets/ICE/TIBV2020?api_key=
London Bullion Market Association,"An international trade association in the London gold and silver market, consisting of central banks, private investors, producers, refiners, and other agents.",https://www.quandl.com/api/v3/databases/LBMA/codes?api_key=
Global Dairy Trade,,https://www.quandl.com/api/v3/datasets/GDT/BMP_SQ_CP5?api_key=
Tokyo Stock Exchange,End of day unadjusted prices and additional information for companies trading on the Tokyo Stock Exchange in Japan.,https://www.quandl.com/api/v3/datasets/TSE/9997?api_key=
National Stock Exchange of India,Stock and index data from the National Stock Exchange of India.,https://www.quandl.com/api/v3/datasets/NSE/BSLGOLDETF?api_key=
IMF Cross Country Macroeconomic Statistics,"IMF primary commodity prices and world economic outlook data, published by Open Data for Africa. Excellent cross-country macroeconomic data.",https://www.quandl.com/api/v3/datasets/ODA/ZWE_GGXCNL_NGDP?api_key=
NASDAQ OMX Global Index Data,"Over 35,000 global indexes published by NASDAQ OMX including Global Equity, Fixed Income, Dividend, Green, Nordic, Sharia and more. Daily data.",https://www.quandl.com/api/v3/datasets/NASDAQOMX/LDRIG05?api_key=
Yale Department of Economics,"Publishes data related to the stock and housing markets; price data for common indexes, interest rates, earnings, dividends, house prices, and CPI.",https://www.quandl.com/api/v3/datasets/YALE/RBCI?api_key=
London Platinum & Palladium Market,Price data on the market-clearing level for Palladium and Platinum around the world.,https://www.quandl.com/api/v3/datasets/LPPM/PALL?api_key=
U.S. Energy Information Administration Data,"US national and state data on production, consumption and other indicators on all major energy products, such as electricity, coal, natural gas and petroleum.",https://www.quandl.com/api/v3/datasets/EIA/AEO_2016_REF_NO_CPP_PRCE_NA_COMM_NA_NG_NA_SATL_Y13DLRPMCF_A?api_key=
"LIFFE Futures Data","Futures data from LIFFE for a variety of equities, softs and grains. Contains years of history for many futures.",https://www.quandl.com/api/v3/datasets/LIFFE/XFCZ2018?api_key=
Commodity Futures Trading Commission Reports,"Weekly Commitment of Traders and Concentration Ratios. Reports for futures positions, as well as futures plus options positions. New and legacy formats.",https://www.quandl.com/api/v3/datasets/CFTC/IC13_FO_ALL_CR?api_key=
EUREX Futures Data,"Index, rate, agriculture and energy futures from EUREX, Europe's largest futures exchange, with history spanning a decade for select futures.",https://www.quandl.com/api/v3/datasets/EUREX/FCXEZ2018?api_key=
British Petroleum,BP is a large energy producer and distributor. It provides data on energy production and consumption in individual countries and larger subregions.,https://www.quandl.com/api/v3/datasets/BP/COAL_PROD_O_MNG?api_key=
Johnson Matthey,"A leading provider of current and historical data on platinum group metals such as prices, supply, and demand.",https://www.quandl.com/api/v3/datasets/JOHNMATT/RUTH?api_key=
University of Michigan,The University of Michigan’s consumer survey - data points for the most recent 6 months are unofficial; they are sourced from articles in the Wall Street Journal.,https://www.quandl.com/api/v3/datasets/UMICH/SOC1?api_key=
World Bank Worldwide Governance Indicators,Data on aggregate and individual governance indicators for six dimensions of governance.,https://www.quandl.com/api/v3/datasets/WWGI/VUT_RL_PER_RNK?api_key=
World Bank World Development Indicators,"Most current and accurate development indicators, compiled from officially-recognized international sources.",https://www.quandl.com/api/v3/datasets/WWDI/ETH_DT_DOD_PVLX_EX_ZS?api_key=
World Bank Public Sector Debt,"Data jointly developed by the World Bank and the International Monetary Fund, which brings together detailed public sector government debt data.",https://www.quandl.com/api/v3/datasets/WPSD/SLV_DP_DOD_DLOA_CR_PS_CD?api_key=
World Bank Poverty Statistics,"Indicators on poverty headcount ratio, poverty gap, and number of poor at both international and national poverty lines.",https://www.quandl.com/api/v3/datasets/WPOV/IDN_SI_POV_NOP1?api_key=
World Bank Millennium Development Goals,"Data drawn from the World Development Indicators, reorganized according to the goals and targets of the Millennium Development Goals (MDGs).",https://www.quandl.com/api/v3/datasets/WMDG/VNM_NY_AGR_SUBS_GD_ZS?api_key=
World Bank Jobs for Knowledge Platform,Indicators on labor-related topics.,https://www.quandl.com/api/v3/datasets/WJKP/ZWE_DB_NOTICE_5YR?api_key=
World Bank International Development Association,Data on progress on aggregate outcomes for IDA (International Development Association) countries for selected indicators.,https://www.quandl.com/api/v3/datasets/WIDA/TJK_EG_ELC_HOUS_ZS?api_key=
World Bank Health Nutrition and Population Statistics,"Key health, nutrition and population statistics.",https://www.quandl.com/api/v3/datasets/WHNP/SWE_SH_HIV_ORPH?api_key=
World Bank Global Findex (Global Financial Inclusion database),"Indicators of financial inclusion measures on how people save, borrow, make payments and manage risk.",https://www.quandl.com/api/v3/datasets/WGLF/TZA_WP11632_8?api_key=
World Bank Global Financial Development,"Data on financial system characteristics, including measures of size, use, access to, efficiency, and stability of financial institutions and markets.",https://www.quandl.com/api/v3/datasets/WGFD/VUT_GFDD_SI_05?api_key=
World Bank GEP Economic Prospects,"Data on the short-, medium, and long-term outlook for the global economy and the implications for developing countries and poverty reduction.",https://www.quandl.com/api/v3/datasets/WGEP/ZWE_BNCABFUNDCD_?api_key=
World Bank Gender Statistics,"Data describing gender differences in earnings, types of jobs, sectors of work, farmer productivity, and entrepreneurs’ firm sizes and profits.",https://www.quandl.com/api/v3/datasets/WGEN/MMR_SP_M18_2024_FE_ZS?api_key=
World Bank Global Economic Monitor,"Data on global economic developments, with coverage of high-income, as well as developing countries.",https://www.quandl.com/api/v3/datasets/WGEM/MNG_CPTOTSAXN?api_key=
World Bank Global Economic Monitor (GEM) Commodities,Data containing commodity prices and indices from 1960 to present.,https://www.quandl.com/api/v3/datasets/WGEC/WLD_ZINC?api_key=
World Bank Global Development Finance,"Data on financial system characteristics, including measures of size, use, access to, efficiency, and stability of financial institutions and markets.",https://www.quandl.com/api/v3/datasets/WGDF/RUS_DT_AMT_DPNG_CD?api_key=
World Bank Enterprise Surveys,"Company-level private sector data, covering business topics including finance, corruption, infrastructure, crime, competition, and performance measures.",https://www.quandl.com/api/v3/datasets/WESV/THA_IC_FRM_CORR_CORR3?api_key=
World Bank Education Statistics,"Internationally comparable indicators on education access, progression, completion, literacy, teachers, population, and expenditures.",https://www.quandl.com/api/v3/datasets/WEDU/ZWE_MYS_PROP_80UP_TER_MF?api_key=
World Bank Doing Business,Data on business regulations and their enforcement for member countries and selected cities at the subnational and regional level.,https://www.quandl.com/api/v3/datasets/WDBU/VCT_IC_ISV_COST?api_key=
World Bank Corporate Scorecard,This database is designed to provide a strategic overview of the World Bank Group’s performance toward ending extreme poverty and promoting shared prosperity.,https://www.quandl.com/api/v3/datasets/WCSC/UMC_IQ_SCI_OVRL?api_key=
World Bank Africa Development Indicators,"A collection of development indicators on Africa, including national, regional and global estimates.",https://www.quandl.com/api/v3/datasets/WADI/AZE_SP_POP_1564_TO?api_key=
European Central Bank,"The central bank for the European Union oversees monetary policy and the Euro, and provides data on related macroeconomic variables.",https://www.quandl.com/api/v3/datasets/ECB/EURZAR?api_key=
National Securities Depository Limited (India),Depository in India responsible for economic development of the country that has established a national infrastructure of international standards that handles most of the securities held and settled in dematerialised form in the Indian capital market.,https://www.quandl.com/api/v3/datasets/NSDL/DIF?api_key=
Statistics Bureau of Japan,A Japanese government statistical agency that provides statistics related to employment and the labour force.,https://www.quandl.com/api/v3/datasets/SBJ/0307?api_key=
Frankfurt Stock Exchange,,https://www.quandl.com/api/v3/datasets/FSE/ZO1_X?api_key=
Boerse Stuttgart,Current and historical data from the Boerse Stuttgart exchange in Germany.,https://www.quandl.com/api/v3/datasets/SSE/NA8P?api_key=
London Stock Exchange,Daily updated stock prices for the London Stock Exchange.,https://www.quandl.com/api/v3/datasets/LSE/ZIOC?api_key=
Hong Kong Exchange,"Hong Kong Exchange stock prices, historical divided futures, etc. updated daily.",https://www.quandl.com/api/v3/datasets/HKEX/MHINM2018?api_key=
